Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,WhatsApp 1,WhatsApp 2,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Real,ветеринарный кабинет,Ветеринарные клиники; Зоотовары,"улица Шаймерден Косшыгулулы, 24/1",цокольный этаж; ВП: 15,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-16:00; Вс: 11:00-16:00,+05:00,4.7,97,87074490103,,,,,,https://instagram.com/vet_clinik_astana,,https://wa.me/77074490103,,,,,51.173508,71.378927,https://2gis.com/firm/70000001030371417,branch
Veles Vet,,Ветеринарные клиники; Ветеринарные аптеки; Зоотовары,"улица Бейбитшилик, 77",,,,Сарыарка район,Астана,,Астана,Казахстан,Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+05:00,4.9,44,87781194790,,,,,,https://instagram.com/veles_vet_astana,,https://wa.me/77781194790,,,,,51.187893,71.414178,https://2gis.com/firm/70000001060022424,branch
Vet Doc,ветеринарная клиника,Ветеринарные клиники,"проспект Сарыарка, 41",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,577,87086852476,,,,,,https://instagram.com/_vetdoc_,,https://wa.me/77075562946,,,,,51.179417,71.404711,https://2gis.com/firm/70000001024746811,branch
Айболит,ветеринарная клиника,Ветеринарные клиники; Ветеринарные аптеки; Зоотовары; Зоогостиницы; Уход за животными,"улица Илияса Есенберлина, 30",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.7,231,87054231246,87762826038,87172392740,,,,https://instagram.com/vetclinic.aibolit,,https://wa.me/77054231246,https://wa.me/77762826038,,,,51.188843,71.417367,https://2gis.com/firm/70000001029478410,branch
Альфа-Вет,ветеринарная клиника,Ветеринарные клиники,"улица Кайрат Рыскулбеков, 4/3",НП: 3,,Аль-Фараби м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-16:00; Вс: 11:00-16:00,+05:00,5.0,12,87776146560,87028608670,87172986770,,,,,,https://wa.me/77028608670,,viber://chat/?number=77028608670,,,51.153592,71.49855,https://2gis.com/firm/70000001111423971,branch
Альфа-Вет,ветеринарная клиника,Ветеринарные клиники; Зоогостиницы; Зоотовары; Выездные ветеринары; Уход за животными,"улица Бердибек Сокпакбаев, 16",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-16:00,+05:00,4.9,71,87776146560,87028608670,87172986770,,,,,,https://wa.me/77028608670,,viber://chat/?number=77028608670,,,51.172837,71.389193,https://2gis.com/firm/70000001076287241,branch
Био-Вет,ветеринарная клиника,Ветеринарные клиники; Ветеринарные аптеки,"улица Желтоксан, 32/2",,,,Сарыарка район,Астана,,Астана,Казахстан,Ср: 10:00-19:00; Чт: 10:00-17:00; Пт: 10:00-19:00; Сб: 10:00-17:00; Вс: 10:00-17:00 (по предварительной записи),+05:00,5.0,198,87074350038,,,,,,https://instagram.com/bio_vet_vetclinica_vetapteka,,https://wa.me/77074350038,,,,,51.175629,71.415635,https://2gis.com/firm/70000001066510520,branch
Верность жизни,,Ветеринарные клиники; Зоотовары; Ветеринарные аптеки; Выездные ветеринары,"улица Александр Бараев, 21",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,320,87473444520 (ветеринарная клиника ),,,,,,https://instagram.com/vernost.zhizni,,https://wa.me/77473444520,,,,,51.159215,71.43761,https://2gis.com/firm/70000001060578597,branch
Ветеринарная клиника,,Ветеринарные клиники,"улица Керегетас, 48",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.9,326,87172387902 (единая справочная: круглосуточно),,,,,,https://instagram.com/vetklinika_na_baumana_kz,,,,,,,51.186772,71.402026,https://2gis.com/firm/70000001021307872,branch
Ветеринарный кабинет,,Ветеринарные клиники,"улица Ыкылас Дукенулы, 21/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-19:00; Вс: 11:00-17:00 (по предварительной записи),+05:00,4.9,104,87772462452,,,,,,https://instagram.com/vetastana,,https://wa.me/77772462452,,,,,51.181119,71.42639,https://2gis.com/firm/70000001076314860,branch
Ветеринарный кабинет,,Ветеринарные клиники,"улица Тараз, 10/2",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-16:00; Вт: 10:00-16:00; Ср: 10:00-16:00; Чт: 10:00-16:00; Пт: 10:00-16:00; Сб: 10:00-16:00 (по предварительной записи),+05:00,4.8,109,87015412232,87751608320,,,,,https://instagram.com/vetastana,,https://wa.me/77015412232,,,,,51.168565,71.442169,https://2gis.com/firm/70000001040231246,branch
Ветеринарный центр,Ветеринарная аптека,Ветеринарные клиники; Ветеринарные аптеки,"069-й учетный квартал, 5514",,,,,,Целиноградский район,Акмолинская область,Казахстан,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,1.0,1,87076472065,,,,,,,,https://wa.me/77076472065,,,,,51.274731,71.623926,https://2gis.com/firm/70000001112782410,branch
ВетҚамқор,,Ветеринарные клиники; Ветеринарные аптеки; Зоотовары,"улица Желтоксан, 24/1",возле 1 подъезда,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,4.9,234,87076093216 (клиника),87776093216 (ветеринарный врач),,,http://www.tiktok.com/@dr.beisekeyev_astana_01,,https://instagram.com/dr.beisekeyev,,https://wa.me/77076093216,https://wa.me/77776093216,,https://t.me/+77776093216,https://youtube.com/@dr.beisekeyev,51.172409,71.416373,https://2gis.com/firm/70000001104425399,branch
Ветпрепарат,ветеринарная клиника,Ветеринарные клиники; Выездные ветеринары,"Александр Кравцов улица, 14а",,,,Байконыр район,Астана,,Астана,Казахстан,Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-16:00,+05:00,4.9,76,87755051532,87172374375,,,,,https://instagram.com/vetpreparat_clinic,,https://wa.me/77755051532,,,,,51.156888,71.448673,https://2gis.com/firm/70000001069030058,branch
ВетСпектр,,Ветеринарные клиники; Выездные ветеринары,"улица Маншук Маметовой, 2/1",,,,Нура район,Астана,,Астана,Казахстан,"Пн: 10:00-13:00, 14:00-18:30; Вт: 10:00-13:00, 14:00-18:30; Ср: 10:00-13:00, 14:00-18:30; Чт: 10:00-13:00, 14:00-18:30; Сб: 11:00-13:00, 14:00-18:00; Вс: 10:00-13:00, 14:00-18:30",+05:00,4.8,67,87768828733,,,info@vetspectr.kz,http://vetspectr.kz/,,https://instagram.com/vetspectr.astana,,https://wa.me/77768828733,,,,,51.12809,71.37602,https://2gis.com/firm/70000001100414736,branch
ВетСпектр,,Ветеринарные клиники; Выездные ветеринары,"улица Алексея Петрова, 18/1",НП: 3,,2а м-н,Алматы район,Астана,,Астана,Казахстан,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00; Вс: 10:00-13:00, 14:00-19:00",+05:00,4.8,352,87770153131,,,info@vetspectr.kz,http://vetspectr.kz/,,https://instagram.com/vetspectr.astana,,https://wa.me/77770153131,,,,,51.148381,71.468282,https://2gis.com/firm/70000001059066965,branch
Догма,ветеринарная клиника,Ветеринарные клиники; Зоотовары,"проспект Улы Дала, 56",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,479,87070705710,,,,http://dogmavetclinic.kz,,https://instagram.com/dogmavetastana,,https://wa.me/77070705710,,,,,51.097251,71.409978,https://2gis.com/firm/70000001088133630,branch
ЗООЛЮКС,ветеринарная клиника,Ветеринарные клиники; Зоотовары,"переулок Дегерес, 7",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Сб: 11:00-18:00 (по предварительной записи),+05:00,4.5,76,87172506219,87015277180 (единый номер: пн-сб 11:00-18:00),,,,,https://instagram.com/zooluks,,https://wa.me/77015277180,,,,,51.15519,71.514945,https://2gis.com/firm/70000001027653148,branch
ЗООЛЮКС,ветеринарная клиника,Ветеринарные клиники; Зоотовары,"проспект Шакарим Кудайбердыулы, 25/1",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-18:00; Вс: 11:00-16:00,+05:00,4.7,136,87172565623,87015277180 (единый номер: пн-сб 11:00-18:00),,,,,https://instagram.com/zooluks,,https://wa.me/77015277180,,,,,51.155242,71.504682,https://2gis.com/firm/70000001018093369,branch
Зоопрестиж,,Ветеринарные клиники,"улица Александр Бараев, 10/4",,,Жастар м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.0,76,87771002056,87172290998,,,,,,,https://wa.me/77771002056,,,,,51.156509,71.439206,https://2gis.com/firm/70000001024207702,branch
Зоосфера,ветеринарная клиника,Ветеринарные клиники; Зоотовары; Зоогостиницы; Ветеринарные лаборатории; Ветеринарные препараты - опт,"улица Шалкоде, 8/1",,,Промышленный ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.6,704,87079962940,87001296061,,,http://www.zoosfera.kz,http://www.zoosfera.satu.kz,https://instagram.com/astana_zoosfera,https://facebook.com/zoosfera.kz,https://wa.me/77001296061,,,https://t.me/vetclinic_zoosfera_astana,,51.124784,71.521568,https://2gis.com/firm/70000001028998694,branch
Зоосфера,ветеринарная клиника,Ветеринарные клиники; Зоотовары; Зоогостиницы,"улица Алексея Петрова, 1/1",1 этаж,,2 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.8,409,87172344585,87074344585,,,http://www.zoosfera.kz,http://www.zoosfera.satu.kz,https://instagram.com/astana_zoosfera,https://facebook.com/zoosfera.kz,https://wa.me/77074344585,,,https://t.me/+77074344585,,51.151358,71.463507,https://2gis.com/firm/70000001018125770,branch
Любимчик,ветеринарный центр,Ветеринарные клиники; Ветеринарные аптеки; Зоотовары,"улица Максут Нарикбаев, 6а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,44,87009608353,,,,http://lubimchikclinic.kz/,,,,https://wa.me/77009608353,,,,,51.140853,71.389876,https://2gis.com/firm/70000001103861838,branch
Любимчик,ветеринарный центр,Ветеринарные клиники; Ветеринарные аптеки; Зоотовары,"улица Беимбет Майлин, 29/1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.8,648,87781629970,,,schanat1988@mail.ru,http://lubimchikclinic.kz/,,https://instagram.com/lubimchik.astana,,https://wa.me/77781629970,,,,,51.14812,71.480601,https://2gis.com/firm/70000001043068935,branch
Мини Мы,,Ветеринарные клиники; Зоотовары,"улица Малика Габдуллина, 12/2",цокольный этаж; НП: 1,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-18:00; Вс: 11:00-18:00 (по предварительной записи),+05:00,4.8,158,87070031926,,,,,,https://instagram.com/pomoshch.veterinara,,https://wa.me/77070031926,,,,,51.162299,71.43319,https://2gis.com/firm/70000001061606068,branch
Ника,ветеринарная клиника,Ветеринарные клиники,"улица Шаймерден Косшыгулулы, 11/2",,,,Сарыарка район,Астана,,Астана,Казахстан,Вт: 10:00-18:30; Ср: 10:00-18:30; Пт: 10:00-18:30; Сб: 10:00-18:30; Вс: 10:00-17:30,+05:00,4.6,168,87078048101,87014135978,87475937071 (хирург ),,,,,,,,,,,51.168118,71.387955,https://2gis.com/firm/70000001018086362,branch
Специализированная клиника ветеринарной хирургии доктора Адиля,,Ветеринарные клиники; Ветеринарные аптеки; Зоотовары; Ветеринарные лаборатории; Выездные ветеринары,"улица Кенесары, 6",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,174,87079840557,,,Vetsurgeryclinic.kz@gmail.com,,,https://instagram.com/vetsurgeryclinic_kz,,https://wa.me/77079840557,,,https://t.me/vetsurgeryclinic_kz,,51.162146,71.405229,https://2gis.com/firm/70000001110024716,branch
Тұлпар,ветеринарная клиника,Ветеринарные клиники,"улица Алтыбакан, 8",,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,13,87079126393,87083782253 (администрация),,,,,https://instagram.com/vet.tulpar,,https://wa.me/77079126393,https://wa.me/77083782253,,,,51.141228,71.478094,https://2gis.com/firm/70000001113480888,branch
Я живой,,Ветеринарные клиники; Приюты для животных; Зоотовары; Клубы домашних животных и питомники,"улица Аккорган, 5в",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-18:00; Вс: 11:00-18:00,+05:00,4.8,407,87020299141 (руководитель),,,,,,https://instagram.com/i_am_alive_shelter,,https://wa.me/77020299141,,,,,51.176398,71.335685,https://2gis.com/firm/70000001057421744,branch
Shaggy,студия груминга и магазин,Зоотакси; Уход за животными; Зоотовары,"Керей, Жанибек хандар улица, 44",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,203,87763447074,,,,http://taplink.cc/shaggy.grooming,http://zapis.kz/studiya-gruminga-shaggy,https://instagram.com/shaggy.grooming,,https://wa.me/77763447074,,,,,51.107157,71.447393,https://2gis.com/firm/70000001091376051,branch
Бетховен,зоомаркет,Зоотакси; Зоотовары; Аквариумы,"Александр Кравцов улица, 6",цокольный этаж,,Жастар м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-19:45; Вт: 10:00-19:45; Ср: 10:00-19:45; Чт: 10:00-19:45; Пт: 10:00-19:45; Сб: 10:00-19:45; Вс: 10:00-19:45,+05:00,4.0,79,87172403828,87782771572,87027926155 (аквариумистика),,,,https://instagram.com/beethoven_astana,,https://wa.me/77782771572,,,https://t.me/+77028966926,,51.157921,71.442415,https://2gis.com/firm/70000001018093390,branch
Animal house,груминг-салон и зоогостиница,Зоогостиницы; Уход за животными,"улица Сарайшык, 5/1",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,5.0,206,87753397526,,,animalhousekz@gmail.com,http://animalhouse.kz,,https://instagram.com/animalhouse.astana,,https://wa.me/77753397526,,,,,51.136392,71.427585,https://2gis.com/firm/70000001085764370,branch
CatHotel,гостиница для кошек,Зоогостиницы,"улица Балкантау, 78",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,5.0,38,87055220212,87088643216,,,,,https://instagram.com/hotel_cat_astana,,https://wa.me/77055220212,https://wa.me/77088643216,,,,51.131261,71.485288,https://2gis.com/firm/70000001088873772,branch
Dog and cat,груминг-салон и зоогостиница,Зоогостиницы; Уход за животными; Ветеринарные аптеки; Зоотовары,"улица Ануара Алимжанова, 54а",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,4.8,154,87078180770,,,,,,https://instagram.com/dogandcat_astana,,https://wa.me/77078180770,,,,,51.175193,71.446715,https://2gis.com/firm/70000001039242000,branch
Exellent,зоогостиница,Зоогостиницы; Кинологи,,,,,,Астана,,Астана,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,5.0,21,87771691399,87770087080,,,,,https://instagram.com/excellent_astana,,https://wa.me/77771691399,https://wa.me/77770087080,,,,,,https://2gis.com/firm/70000001059449607,branch
Ferdinand,груминг салон и зоогостиница,Зоогостиницы; Уход за животными,"улица Акбаян, 1",въезд справа от ресторана Portofino,,Караоткель-1 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,440,87073177878 (груминг салон),87079880889 (зоогостиница),87089079478 (зоогостиница),,,,https://instagram.com/ferdinand.grooming.salon,,https://wa.me/77073177878,https://wa.me/77079880889,,,,51.140977,71.408609,https://2gis.com/firm/70000001093724095,branch
Happy Tails Hotel,,Зоогостиницы,"улица Берен, 11",вход с ул. Балкантау,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 06:30-21:00; Вт: 06:30-21:00; Ср: 06:30-21:00; Чт: 06:30-21:00; Пт: 06:30-21:00; Сб: 06:30-21:00; Вс: 06:30-21:00,+05:00,5.0,161,87777444486,,,,,,https://instagram.com/happy_tails_hotel,,https://wa.me/77777444486,,,,,51.133295,71.491891,https://2gis.com/firm/70000001093315080,branch
Royal Pets,гостиница для животных,Зоогостиницы; Клубы домашних животных и питомники,"улица Сейиткали Мендешев, 51",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,4.8,23,87082723156,,,,,,https://instagram.com/serval_kz,,https://wa.me/77785424504,https://wa.me/77082723156,,,,51.137917,71.419254,https://2gis.com/firm/70000001081898153,branch
Triada Dog,зоогостиница,Зоогостиницы,"улица Жакып Акпаев, 15",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.9,57,87786113139,87028182010,,,,,https://instagram.com/triadadog,,https://wa.me/77786113139,https://wa.me/77028182010,,,,51.181123,71.360362,https://2gis.com/firm/70000001060577570,branch
